topic_name,topic_description
Primary care,day-to-day health care given by a health care provider
Observable,"In physics, a dynamic variable that can be measured"
Constitutive equation,relation between two physical quantities that is specific to a material or substance
Biological activity,description of effects of a drug on living things
Meal,eating that takes place at a specific time
Bone remodeling,continuous turnover of bone matrix and mineral
Reputation,social opinion about entity
Priming (agriculture),seed preparation process in agriculture
Inversion (geology),relative uplift of a sedimentary basin or similar structure as a result of crustal shortening
Natural history,study of organisms including plants or animals in their environment
Disturbance (geology),linear zone of disturbed rock strata which comprises a combination of folding and faulting
Ductility (Earth science),The field of study related to Ductility (Earth science).
Equivalence (formal languages),when formal languages generate the same set of strings
Exploratory research,type of research conducted for a problem that has not been clearly defined
Durability,property of a database system guaranteeing that transactions that have committed will survive permanently in the event of crashes
Universe,"totality consisting of space, time, matter and energy"
Glycemic,having to do with blood sugar
IL-2 receptor,lymphocyte receptor specific for Interleukin-2
Single crystal,"material in which the crystal lattice of the entire sample is continuous and unbroken to the edges of the sample, with no grain boundaries"
Minification,process of removing all unnecessary characters from source code without changing its functionality
Implementation,"realization of an application, or execution of a plan, idea, model, design, specification, standard, algorithm, or policy"
Perpendicular,Property of being perpendicular (perpendicularity) is the relationship between two lines which meet at a right angle (90 degrees). The property extends to other related geometric objects
Discriminative model,The field of study related to Discriminative model.
Fibroblast,"most common cell of connective tissue in animal, that synthesizes the extracellular matrix and collagen, the structural framework (stroma) for animal tissues, and plays a critical role in wound healing"
Apnea,suspension of breathing
Drop (telecommunication),part of a communications network device directly connected to the internal station facilities
